company,title,url,exp,edu,typ,loc,job_name
㈜위즈베이스,oracle/tibero db 엔지니어 경력사원 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45713099?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=36,경력6년↑,초대졸↑,정규직 외,서울,데이터 엔지니어
㈜두들린,[그리팅] data engineer - 3년 이상,https://www.jobkorea.co.kr/Recruit/GI_Read/45861939?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=52,경력3년↑,학력무관,정규직,서울,데이터 엔지니어
데이터마케팅코리아,(주)데이터마케팅코리아 데이터 엔지니어링 직무 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45902675?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=56,경력3년↑,초대졸↑,정규직,서울,데이터 엔지니어
㈜유클릭,(주)유클릭 oracle db 경력 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45752115?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=57,경력5년↑,초대졸↑,정규직,경기,데이터 엔지니어
㈜트릿지,[tridge] data engineer (산업기능요원),https://www.jobkorea.co.kr/Recruit/GI_Read/46030500?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=60,경력무관,학력무관,계약직,서울,데이터 엔지니어
㈜옵트에이아이,임베디드 ai 개발자 (c++),https://www.jobkorea.co.kr/Recruit/GI_Read/45966844?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=2,경력,석사↑,정규직,서울,AI 개발자
㈜옵트에이아이,비전 ai 어플리케이션 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45966928?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=3,경력,석사↑,정규직,서울,AI 개발자
㈜더존비즈온,[ai 개발] 더존비즈온 ai 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45993087?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5,경력1년↑,학력무관,정규직,강원,AI 개발자
주식회사 솔트룩스,인공지능(ai) 솔트룩스 - nlp research engineer 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/45862140?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=6,경력2년↑,석사↑,정규직,서울,AI 개발자
㈜에이아이포블록체인(AI4 Blo,(경력) 인공지능 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45994009?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=7,경력1년↑,석사↑,정규직,경기,AI 개발자
㈜아이스크림아트,ai연구소 ai기반 연구팀장,https://www.jobkorea.co.kr/Recruit/GI_Read/46036137?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=8,경력7년↑,대졸↑,정규직,서울,AI 개발자
주식회사 솔트룩스,인공지능(ai) 솔트룩스 - nlp research engineer 신입,https://www.jobkorea.co.kr/Recruit/GI_Read/45846865?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=9,신입,대졸↑,정규직,서울,AI 개발자
㈜웅진,[경력] ai개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46011182?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=10,경력3년↑,학력무관,정규직,서울,AI 개발자
퀘이자㈜,ai기반 감정서비스 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45870888?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=11,경력,대졸↑,정규직,인천,AI 개발자
㈜크래프톤,[ai] ai engineer - nlp/chatbot (3년 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45826591?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=12,경력,석사↑,정규직,서울,AI 개발자
㈜미피아(Mippia Inc.,음원 유사도 분석 ai 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45889185?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=13,신입,석사↑,정규직,서울,AI 개발자
㈜옵트에이아이,[병역특례]임베디드 ai 개발자 (c++),https://www.jobkorea.co.kr/Recruit/GI_Read/45965544?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=14,경력1년↑,석사↑,정규직,서울,AI 개발자
㈜옵트에이아이,[병역특례]비전 ai 어플리케이션 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45965497?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=17,경력1년↑,석사↑,정규직,서울,AI 개발자
㈜포니링크,(주)포니링크 ai개발자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45953125?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=18,경력5년↑,초대졸↑,정규직,서울,AI 개발자
㈜이오테크닉스,(주)이오테크닉스 ai개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45952853?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=20,경력,대졸↑,정규직,경기,AI 개발자
오투오,(주)에이아이오투오 ai 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46013600?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=21,경력무관,대졸↑,정규직,경기,AI 개발자
그로들,ai llm 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46035561?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=22,경력6년↑,대졸↑,정규직,서울,AI 개발자
"㈜숲(SOOP CO., LTD.)",[soop] ai 엔지니어 리더,https://www.jobkorea.co.kr/Recruit/GI_Read/45965928?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=23,경력6년↑,학력무관,정규직,경기,AI 개발자
한국딥러닝㈜,ai 엔지니어(데이터),https://www.jobkorea.co.kr/Recruit/GI_Read/46026864?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=24,경력3년↑,학력무관,정규직,서울,AI 개발자
㈜헥토,"[헥토 ai랩] ai 테크팀 (software engineer, ml)",https://www.jobkorea.co.kr/Recruit/GI_Read/45864920?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=25,경력8년↑,대졸↑,정규직,서울,AI 개발자
㈜네비웍스,ai 개발자(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45997908?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=26,경력1년↑,대졸↑,정규직,경기,AI 개발자
㈜휴라이트,ai/ml 인공지능 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45941699?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=27,경력3년↑,학력무관,정규직,경기,AI 개발자
㈜아이스크림아트,ai연구소 ai기반 연구팀원 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46036173?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=29,경력5년↑,대졸↑,정규직,서울,AI 개발자
코아텍㈜,"인공지능 실무업무 경력자(it개발, ai, 전기전자)",https://www.jobkorea.co.kr/Recruit/GI_Read/46032532?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=30,경력5년↑,대졸↑,정규직,경기,AI 개발자
㈜펨트론,[펨트론] 3d&ai팀 ct알고리즘 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45998579?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=31,신입·경력,초대졸↑,정규직,서울,AI 개발자
㈜CJ올리브네트웍스,[경력] llm 분야 생성형 ai 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45973594?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=34,경력,대졸↑,정규직 외,서울,AI 개발자
㈜미니게이트,[경력 3년 이상] ml(ai) engineer 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45994118?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=36,경력3년↑,학력무관,정규직,서울,AI 개발자
㈜아이스크림아트,(주)아이스크림아트 ai연구소 ai기반연구팀장/팀원(경력) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45993989?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=37,경력5년↑,대졸↑,정규직,서울,AI 개발자
티엔에스에이아이㈜,ai(인공지능) 딥러닝 개발자 모집 인재채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45867335?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=38,신입·경력3년↑,석사↑,정규직,인천,AI 개발자
㈜엑스큐어넷,생성형 ai 모델 연구 및 응용 개발(ai/ml),https://www.jobkorea.co.kr/Recruit/GI_Read/45895377?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=39,경력3년↑,초대졸↑,정규직,서울,AI 개발자
㈜인피닉,"[인공지능 연구소] ai 알고리즘 개발자 채용 (신입, 경력, 병역특례)",https://www.jobkorea.co.kr/Recruit/GI_Read/45703288?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=40,신입·경력,대졸↑,정규직 외,서울,AI 개발자
㈜미니레코드,ai 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45901759?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=41,경력2년↑,대졸↑,정규직,서울,AI 개발자
섬재㈜,ai researcher,https://www.jobkorea.co.kr/Recruit/GI_Read/45927329?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=42,경력3년↑,학력무관,정규직,서울,AI 개발자
슈프리마,[슈프리마 ai] 얼굴인식/비디오 분석 인공지능 알고리즘 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45888195?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=43,신입·경력2년↑,대졸↑,정규직,경기,AI 개발자
㈜트루엔,on-device ai 개발자 적극채용 (truen),https://www.jobkorea.co.kr/Recruit/GI_Read/45933525?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=44,경력7년↑,석사↑,정규직,서울,AI 개발자
㈜펄어비스,[펄어비스] [신입/경력] ai 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46012629?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=47,경력무관,학력무관,정규직,경기,AI 개발자
㈜미니게이트,[경력 3년 이상] ml(ai) engineer 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45950375?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=48,경력3년↑,학력무관,정규직,서울,AI 개발자
다큐브㈜,"ai 엔지니어 (llm, nlp)",https://www.jobkorea.co.kr/Recruit/GI_Read/45996079?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=50,경력5년↑,학력무관,정규직,서울,AI 개발자
엔에이치엔㈜,[nhn] 음성 ai 연구/개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45799959?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=51,경력무관,석사↑,정규직,경기,AI 개발자
가온그룹㈜,[가온그룹] ai 백엔드 개발 담당 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45966069?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=53,경력무관,초대졸↑,정규직,경기,AI 개발자
㈜뉴엔에이아이,[신입/경력] 인공지능 딥러닝 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45976037?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=54,신입·경력1년↑,대졸↑,정규직,경기,AI 개발자
㈜알라딘커뮤니케이션,ai 엔지니어 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45962660?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=55,경력5년↑,학력무관,정규직,서울,AI 개발자
㈜비아이매트릭스,[코스닥기업] 생성형 ai 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46029095?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=56,경력5년↑,대졸↑,정규직,서울,AI 개발자
알서포트㈜,[코스닥상장사] ai 기반 제품/서비스 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45991651?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=57,경력3년↑,학력무관,정규직,서울,AI 개발자
에스이에스에이아이코리아 유한회사,senior ai/ml engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/45875000?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=58,경력5년↑,석사↑,정규직,경기,AI 개발자
프보이㈜,vision 분야 ai 경력 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45954925?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=59,경력2년↑,대졸↑,정규직,부산,AI 개발자
㈜인피닉,[인공지능 연구소] 인공지능 및 지식그래프 연구/개발 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45987107?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=60,경력무관,대졸↑,정규직,서울,AI 개발자
㈜메이크봇,"ai챗봇 선두기업, java/php 웹개발자 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/46033261?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=1,신입·경력,초대졸↑,정규직 외,서울,챗봇 개발자
㈜스피링크,[인재풀] ai 챗봇 개발 프리랜서 상시 모집(back/front),https://www.jobkorea.co.kr/Recruit/GI_Read/45924777?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=2,경력5년↑,학력무관,프리랜서,서울,챗봇 개발자
㈜메이크봇,"ai챗봇 선두기업, 전문연구요원(병역특례) 채용(ai/sw 연구개발)",https://www.jobkorea.co.kr/Recruit/GI_Read/45868586?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=7,신입·경력,초대졸↑,정규직 외,서울,챗봇 개발자
㈜새롬정보시스템,gen ai 기반 응용솔루션 웹개발(ai사업부문) 경력사원 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/46036704?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=8,경력3년↑,초대졸↑,정규직,서울,챗봇 개발자
㈜천재교육,[천재교육] ai센터 언어처리팀 각 부문별 개발자 모집(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46013479?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=25,경력5년↑,학력무관,정규직 외,서울,챗봇 개발자
㈜누리미디어,[개발운영] 시니어 ai 개발자 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45820632?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=39,경력7년↑,학력무관,정규직,서울,챗봇 개발자
㈜에스지시큐리티컨설팅,[신입/경력]ai 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45978474?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=40,신입·경력1년↑,초대졸↑,정규직,서울,챗봇 개발자
메타빌드㈜,메타빌드(주) ai 개발자 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45906098?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=41,경력무관,대졸↑,정규직,서울,챗봇 개발자
㈜페르소나에이아이,인공지능(ai) 솔루션 php 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46048610?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=42,경력5년↑,초대졸↑,정규직,서울,챗봇 개발자
알파브릿지㈜,프론트엔드 시니어 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45907088?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=43,경력5년↑,학력무관,정규직,경기,챗봇 개발자
㈜페르소나에이아이,ai 음성인식 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45946096?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=46,경력5년↑,학력무관,정규직,서울,챗봇 개발자
㈜페르소나에이아이,ai음성 솔루션 java 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45872361?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=47,경력5년↑,초대졸↑,정규직,서울,챗봇 개발자
㈜미니레코드,react native 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45901722?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=51,경력1년↑,학력무관,정규직,서울,챗봇 개발자
㈜레인보우브레인,[플랫폼사업본부] 금융권 ai 서비스 프론트엔드개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45683096?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=54,경력2년↑,대졸↑,정규직,서울,챗봇 개발자
㈜인티그리트,[차세대 ai 로보틱스 플랫폼] 인티그리트와 함께 해주실 역량있는 개발자를 모십니다 [r&d 부분),https://www.jobkorea.co.kr/Recruit/GI_Read/45959822?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=56,경력,대졸↑,정규직,서울,챗봇 개발자
㈜스피링크,[textnet] llm 기반 풀스택 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45989449?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=57,경력3년↑,대졸↑,계약직,서울,챗봇 개발자
㈜한국클라우드,(주)한국클라우드 프론트엔드 개발자 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45892269?Oem_Code=C1&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=58,경력무관,학력무관,정규직,서울,챗봇 개발자
중소기업(300명이하),솔루션개발 및 구축 pl(챗봇 기획 경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46008997?PageGbn=HH&logpath=1&stext=%EC%B1%97%EB%B4%87%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=60,경력7년↑,학력무관,정규직,경기,챗봇 개발자
어빌리티 시스템즈,클라우드 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45924314?Oem_Code=C1&logpath=1&stext=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=1,신입·경력2년↑,학력무관,정규직,서울,클라우드 엔지니어
㈜투스카이,cloud 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46034880?Oem_Code=C1&logpath=1&stext=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=2,경력5년↑,학력무관,정규직 외,서울,클라우드 엔지니어
프레이,클라우드 엔지니어 정규직 채용 (네이버클라우드 운영자 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/46022827?Oem_Code=C1&logpath=1&stext=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=3,신입·경력2년↑,고졸↑,정규직,서울,클라우드 엔지니어
마노아이티(ManoIT),[신입] 클라우드 엔지니어 채용 - asap,https://www.jobkorea.co.kr/Recruit/GI_Read/45808885?Oem_Code=C1&logpath=1&stext=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=5,신입·경력1년↑,학력무관,정규직 외,서울,클라우드 엔지니어
굿어스데이터㈜,naver cloud 엔지니어 (경력 1년 이상 5년 이하) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46039150?Oem_Code=C1&logpath=1&stext=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=6,경력1년↑,학력무관,정규직,서울,클라우드 엔지니어
㈜스타랩스,[스타랩스] aws 클라우드 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45980060?Oem_Code=C1&logpath=1&stext=%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=7,경력,학력무관,정규직,서울,클라우드 엔지니어
